id,guest_id,guest_name,email_id,check_in_date,check_out_date,room_number,room_type,room_price_per_day,duration_of_stay,meal_charges,discount,gst,grand_total_amount,created_at,frequency_of_bookings,days_since_last_booking,total_revenue_generated,average_stay_duration,total_meal_charges
16,267,Priya S.,priya52@gmail.com,2023-02-20 00:00:00,2023-03-03 00:00:00,2,N,9300.0,11,2716.0,1191.0,5308.2225,106164.45,2024-08-17 00:00:00,17,560,2560051.2,18.88,45008.0
17,267,Priya S.,priya52@gmail.com,2023-11-20 00:00:00,2023-12-19 00:00:00,40,D,10501.0,29,4323.0,783.0,15946.665,318933.3,2023-06-26 00:00:00,17,560,2560051.2,18.88,45008.0
18,628,John D.,john54@gmail.com,2024-06-11 00:00:00,2024-06-16 00:00:00,27,N,9555.0,5,665.0,0.0,2508.1875,50163.75,2023-01-16 00:00:00,4,120,248029.95,7.0,4362.0
19,119,Rahul D.,rahul51@gmail.com,2024-05-15 00:00:00,2024-05-19 00:00:00,12,N,5796.0,4,1124.0,0.0,1217.16,24343.2,2023-09-17 00:00:00,12,119,1265995.5,14.0,23224.0
20,914,Emily B.,emily30@gmail.com,2024-01-14 00:00:00,2024-01-24 00:00:00,18,N,8624.0,10,2120.0,1475.0,4450.1625,89003.25,2024-03-05 00:00:00,16,3,1743385.1,13.5,33403.0
21,265,Sunita R.,sunita32@gmail.com,2024-03-24 00:00:00,2024-03-30 00:00:00,38,D,8616.0,6,542.0,0.0,2714.0400000000004,54280.8,2023-06-22 00:00:00,13,39,1623914.25,15.69,26657.0
22,267,Priya S.,priya52@gmail.com,2024-03-17 00:00:00,2024-04-13 00:00:00,1,N,8358.0,27,2889.0,1859.0,11749.8675,234997.35,2024-02-06 00:00:00,17,560,2560051.2,18.88,45008.0
23,914,Emily B.,emily30@gmail.com,2023-03-31 00:00:00,2023-04-12 00:00:00,34,D,9677.0,12,1500.0,1952.0,5994.030000000001,119880.6,2024-02-01 00:00:00,16,3,1743385.1,13.5,33403.0
24,267,Priya S.,priya52@gmail.com,2024-06-28 00:00:00,2024-07-25 00:00:00,6,N,10921.0,27,3447.0,1439.0,15404.97,308099.4,2023-07-09 00:00:00,17,560,2560051.2,18.88,45008.0
25,914,Emily B.,emily30@gmail.com,2024-03-27 00:00:00,2024-04-07 00:00:00,37,D,8245.0,11,2164.0,518.0,4734.2925000000005,94685.85,2023-09-21 00:00:00,16,3,1743385.1,13.5,33403.0
26,914,Emily B.,emily30@gmail.com,2023-09-17 00:00:00,2023-09-19 00:00:00,16,N,9147.0,2,1459.0,0.0,960.435,19208.7,2024-06-24 00:00:00,16,3,1743385.1,13.5,33403.0
27,106,Sophia L.,sophia94@gmail.com,2023-09-27 00:00:00,2023-10-09 00:00:00,49,D,7062.0,12,1356.0,931.0,4400.1825,88003.65,2024-07-09 00:00:00,4,95,697507.65,21.5,8435.0
28,363,Amit K.,amit43@gmail.com,2023-01-16 00:00:00,2023-02-14 00:00:00,26,N,7260.0,29,3840.0,1145.0,10993.2375,219864.75,2024-09-29 00:00:00,7,52,1226078.7,19.14,16741.0
29,183,Michael K.,michael94@gmail.com,2023-06-02 00:00:00,2023-06-07 00:00:00,3,N,8954.0,5,1327.0,0.0,2350.425,47008.5,2023-02-14 00:00:00,11,390,979570.2,11.82,21305.0
30,119,Rahul D.,rahul51@gmail.com,2023-11-06 00:00:00,2023-11-18 00:00:00,13,N,7240.0,12,1092.0,1153.0,4500.6675000000005,90013.35,2024-01-04 00:00:00,12,119,1265995.5,14.0,23224.0
31,183,Michael K.,michael94@gmail.com,2023-06-06 00:00:00,2023-06-12 00:00:00,26,N,9934.0,6,701.0,0.0,3129.21,62584.2,2024-05-08 00:00:00,11,390,979570.2,11.82,21305.0
32,106,Sophia L.,sophia94@gmail.com,2024-01-03 00:00:00,2024-02-02 00:00:00,12,N,7013.0,30,3380.0,1612.0,10960.845,219216.9,2024-04-11 00:00:00,4,95,697507.65,21.5,8435.0
33,941,David M.,david79@gmail.com,2023-08-31 00:00:00,2023-09-12 00:00:00,25,N,10859.0,12,2868.0,1324.0,6771.660000000001,135433.2,2024-06-09 00:00:00,7,219,817388.25,12.57,13660.0
34,119,Rahul D.,rahul51@gmail.com,2023-09-20 00:00:00,2023-09-24 00:00:00,36,D,5199.0,4,1408.0,0.0,1091.79,21835.8,2023-01-18 00:00:00,12,119,1265995.5,14.0,23224.0
35,899,Vikas P.,vikas91@gmail.com,2024-05-16 00:00:00,2024-06-08 00:00:00,42,D,9876.0,23,3090.0,582.0,11894.715,237894.3,2023-02-25 00:00:00,9,39,1258101.6,16.56,18999.0
36,914,Emily B.,emily30@gmail.com,2023-03-22 00:00:00,2023-03-29 00:00:00,20,N,9012.0,7,1258.0,0.0,3311.91,66238.2,2024-02-25 00:00:00,16,3,1743385.1,13.5,33403.0
37,183,Michael K.,michael94@gmail.com,2023-05-28 00:00:00,2023-06-03 00:00:00,8,N,7648.0,6,1076.0,0.0,2409.1200000000003,48182.4,2023-06-06 00:00:00,11,390,979570.2,11.82,21305.0
38,119,Rahul D.,rahul51@gmail.com,2023-08-15 00:00:00,2023-09-09 00:00:00,18,N,6513.0,25,2109.0,888.0,8501.692500000001,170033.85,2024-01-15 00:00:00,12,119,1265995.5,14.0,23224.0
39,265,Sunita R.,sunita32@gmail.com,2024-09-27 00:00:00,2024-10-18 00:00:00,29,N,5040.0,21,2478.0,1607.0,5472.2325,109444.65,2023-07-08 00:00:00,13,39,1623914.25,15.69,26657.0
40,363,Amit K.,amit43@gmail.com,2023-02-02 00:00:00,2023-02-14 00:00:00,23,N,10936.0,12,1608.0,1858.0,6792.135000000001,135842.7,2023-04-07 00:00:00,7,52,1226078.7,19.14,16741.0
41,119,Rahul D.,rahul51@gmail.com,2024-04-23 00:00:00,2024-05-07 00:00:00,39,D,9174.0,14,1080.0,1928.0,6641.67,132833.4,2024-09-10 00:00:00,12,119,1265995.5,14.0,23224.0
42,628,John D.,john54@gmail.com,2024-01-30 00:00:00,2024-02-01 00:00:00,3,N,7774.0,2,1122.0,0.0,816.27,16325.4,2024-09-25 00:00:00,4,120,248029.95,7.0,4362.0
43,941,David M.,david79@gmail.com,2024-08-30 00:00:00,2024-09-01 00:00:00,19,N,9093.0,2,668.0,0.0,954.765,19095.3,2024-06-21 00:00:00,7,219,817388.25,12.57,13660.0
44,119,Rahul D.,rahul51@gmail.com,2023-06-29 00:00:00,2023-07-02 00:00:00,17,N,6798.0,3,1424.0,0.0,1070.6850000000002,21413.7,2023-03-12 00:00:00,12,119,1265995.5,14.0,23224.0
45,265,Sunita R.,sunita32@gmail.com,2023-01-31 00:00:00,2023-02-10 00:00:00,29,N,9305.0,10,1144.0,1011.0,4832.0475,96640.95,2023-02-15 00:00:00,13,39,1623914.25,15.69,26657.0
46,914,Emily B.,emily30@gmail.com,2023-12-09 00:00:00,2024-01-04 00:00:00,25,N,10665.0,26,1869.0,870.0,14512.05,290241.0,2024-05-04 00:00:00,16,3,1743385.1,13.5,33403.0
47,628,John D.,john54@gmail.com,2023-12-03 00:00:00,2023-12-15 00:00:00,37,D,6456.0,12,1544.0,1349.0,3996.4575,79929.15,2023-06-12 00:00:00,4,120,248029.95,7.0,4362.0
48,267,Priya S.,priya52@gmail.com,2023-07-10 00:00:00,2023-08-02 00:00:00,32,D,5139.0,23,3111.0,1645.0,6118.9800000000005,122379.6,2024-01-20 00:00:00,17,560,2560051.2,18.88,45008.0
49,106,Sophia L.,sophia94@gmail.com,2024-04-14 00:00:00,2024-05-06 00:00:00,22,N,7171.0,22,1815.0,728.0,8244.285000000002,164885.7,2024-07-11 00:00:00,4,95,697507.65,21.5,8435.0
50,265,Sunita R.,sunita32@gmail.com,2023-01-25 00:00:00,2023-02-16 00:00:00,34,D,7960.0,22,3198.0,770.0,9153.375,183067.5,2024-03-09 00:00:00,13,39,1623914.25,15.69,26657.0
51,119,Rahul D.,rahul51@gmail.com,2023-08-10 00:00:00,2023-09-09 00:00:00,44,D,6923.0,30,4168.0,842.0,10859.52,217190.4,2023-10-05 00:00:00,12,119,1265995.5,14.0,23224.0
52,628,John D.,john54@gmail.com,2024-05-01 00:00:00,2024-05-10 00:00:00,37,D,10837.0,9,1031.0,760.0,5080.5825,101611.65,2023-06-24 00:00:00,4,120,248029.95,7.0,4362.0
53,265,Sunita R.,sunita32@gmail.com,2023-02-05 00:00:00,2023-02-10 00:00:00,31,D,6531.0,5,1141.0,0.0,1714.3875,34287.75,2023-04-27 00:00:00,13,39,1623914.25,15.69,26657.0
54,183,Michael K.,michael94@gmail.com,2023-07-06 00:00:00,2023-07-15 00:00:00,50,D,7029.0,9,1342.0,1584.0,3238.0425,64760.85,2024-06-07 00:00:00,11,390,979570.2,11.82,21305.0
55,914,Emily B.,emily30@gmail.com,2023-11-20 00:00:00,2023-12-20 00:00:00,43,D,6174.0,30,5940.0,518.0,9696.855,193937.1,2023-10-15 00:00:00,16,3,1743385.1,13.5,33403.0
56,899,Vikas P.,vikas91@gmail.com,2024-04-23 00:00:00,2024-05-20 00:00:00,50,D,8163.0,27,2016.0,1032.0,11516.8725,230337.45,2023-05-31 00:00:00,9,39,1258101.6,16.56,18999.0
57,899,Vikas P.,vikas91@gmail.com,2023-06-15 00:00:00,2023-06-28 00:00:00,20,N,6474.0,13,2056.0,1191.0,4355.9775,87119.55,2023-12-19 00:00:00,9,39,1258101.6,16.56,18999.0
58,914,Emily B.,emily30@gmail.com,2024-08-31 00:00:00,2024-09-13 00:00:00,43,D,8159.0,13,2826.0,996.0,5516.227500000001,110324.55,2024-05-04 00:00:00,16,3,1743385.1,13.5,33403.0
59,183,Michael K.,michael94@gmail.com,2024-06-21 00:00:00,2024-06-29 00:00:00,34,D,8385.0,8,1149.0,1705.0,3432.1875,68643.75,2024-07-23 00:00:00,11,390,979570.2,11.82,21305.0
60,914,Emily B.,emily30@gmail.com,2024-03-28 00:00:00,2024-04-16 00:00:00,4,N,7516.0,19,1844.0,1060.0,7441.560000000001,148831.2,2023-08-21 00:00:00,16,3,1743385.1,13.5,33403.0
61,363,Amit K.,amit43@gmail.com,2023-07-21 00:00:00,2023-08-12 00:00:00,32,D,8137.0,22,2619.0,1358.0,9326.94,186538.8,2024-01-25 00:00:00,7,52,1226078.7,19.14,16741.0
62,899,Vikas P.,vikas91@gmail.com,2024-09-19 00:00:00,2024-10-03 00:00:00,16,N,7035.0,14,2694.0,1809.0,5075.7525000000005,101515.05,2024-08-30 00:00:00,9,39,1258101.6,16.56,18999.0
63,267,Priya S.,priya52@gmail.com,2024-05-14 00:00:00,2024-06-03 00:00:00,46,D,6120.0,20,1815.0,1205.0,6362.7375,127254.75,2023-05-04 00:00:00,17,560,2560051.2,18.88,45008.0
64,265,Sunita R.,sunita32@gmail.com,2024-09-27 00:00:00,2024-10-08 00:00:00,41,D,7647.0,11,2332.0,1594.0,4332.4575,86649.15,2023-07-23 00:00:00,13,39,1623914.25,15.69,26657.0
65,119,Rahul D.,rahul51@gmail.com,2023-01-31 00:00:00,2023-02-12 00:00:00,9,N,6337.0,12,2646.0,754.0,3952.725,79054.5,2024-08-14 00:00:00,12,119,1265995.5,14.0,23224.0
66,267,Priya S.,priya52@gmail.com,2023-08-02 00:00:00,2023-08-04 00:00:00,10,N,7315.0,2,636.0,0.0,768.075,15361.5,2023-02-19 00:00:00,17,560,2560051.2,18.88,45008.0
67,183,Michael K.,michael94@gmail.com,2023-03-15 00:00:00,2023-03-20 00:00:00,32,D,7036.0,5,1364.0,0.0,1846.95,36939.0,2024-04-19 00:00:00,11,390,979570.2,11.82,21305.0
68,267,Priya S.,priya52@gmail.com,2023-05-29 00:00:00,2023-06-21 00:00:00,20,N,6308.0,23,4011.0,1577.0,7534.1175,150682.35,2023-12-23 00:00:00,17,560,2560051.2,18.88,45008.0
69,119,Rahul D.,rahul51@gmail.com,2023-06-22 00:00:00,2023-07-10 00:00:00,42,D,6715.0,18,2532.0,1655.0,6258.7875,125175.75,2023-08-26 00:00:00,12,119,1265995.5,14.0,23224.0
70,899,Vikas P.,vikas91@gmail.com,2023-09-24 00:00:00,2023-10-10 00:00:00,12,N,7877.0,16,2032.0,1382.0,6544.125,130882.5,2024-05-01 00:00:00,9,39,1258101.6,16.56,18999.0
71,914,Emily B.,emily30@gmail.com,2023-04-19 00:00:00,2023-04-27 00:00:00,14,N,8898.0,8,569.0,1501.0,3658.3575,73167.15,2024-08-21 00:00:00,16,3,1743385.1,13.5,33403.0
72,267,Priya S.,priya52@gmail.com,2024-01-29 00:00:00,2024-02-28 00:00:00,10,N,6120.0,30,5636.0,645.0,9605.1375,192102.75,2023-10-12 00:00:00,17,560,2560051.2,18.88,45008.0
73,265,Sunita R.,sunita32@gmail.com,2024-09-05 00:00:00,2024-10-03 00:00:00,31,D,6148.0,28,3816.0,1721.0,8947.2075,178944.15,2024-05-14 00:00:00,13,39,1623914.25,15.69,26657.0
74,265,Sunita R.,sunita32@gmail.com,2023-03-01 00:00:00,2023-03-22 00:00:00,41,D,10510.0,21,1758.0,507.0,11560.6575,231213.15,2023-05-25 00:00:00,13,39,1623914.25,15.69,26657.0
75,267,Priya S.,priya52@gmail.com,2023-10-29 00:00:00,2023-11-22 00:00:00,34,D,6322.0,24,1686.0,1669.0,7878.097500000001,157561.95,2023-12-07 00:00:00,17,560,2560051.2,18.88,45008.0
76,265,Sunita R.,sunita32@gmail.com,2024-02-25 00:00:00,2024-03-04 00:00:00,9,N,10586.0,8,1160.0,890.0,4399.395,87987.9,2023-11-02 00:00:00,13,39,1623914.25,15.69,26657.0
77,914,Emily B.,emily30@gmail.com,2024-03-06 00:00:00,2024-03-26 00:00:00,47,D,6712.0,20,1707.0,1414.0,6973.365,139467.3,2024-03-30 00:00:00,16,3,1743385.1,13.5,33403.0
78,363,Amit K.,amit43@gmail.com,2024-07-23 00:00:00,2024-08-10 00:00:00,31,D,10328.0,18,1972.0,731.0,9721.5825,194431.65,2023-08-06 00:00:00,7,52,1226078.7,19.14,16741.0
79,914,Emily B.,emily30@gmail.com,2023-10-21 00:00:00,2023-11-01 00:00:00,37,D,6558.0,11,2430.0,570.0,3757.32,75146.4,2024-07-26 00:00:00,16,3,1743385.1,13.5,33403.0
80,183,Michael K.,michael94@gmail.com,2024-01-14 00:00:00,2024-01-30 00:00:00,7,N,5377.0,16,2024.0,1040.0,4462.080000000001,89241.6,2023-09-14 00:00:00,11,390,979570.2,11.82,21305.0
81,899,Vikas P.,vikas91@gmail.com,2024-01-20 00:00:00,2024-02-17 00:00:00,13,N,6198.0,28,3633.0,1116.0,9052.47,181049.4,2024-08-29 00:00:00,9,39,1258101.6,16.56,18999.0
82,265,Sunita R.,sunita32@gmail.com,2023-12-28 00:00:00,2024-01-20 00:00:00,41,D,5607.0,23,2070.0,806.0,6728.137500000001,134562.75,2023-12-12 00:00:00,13,39,1623914.25,15.69,26657.0
83,183,Michael K.,michael94@gmail.com,2023-06-07 00:00:00,2023-07-04 00:00:00,5,N,6191.0,27,4344.0,1367.0,8703.975,174079.5,2024-09-04 00:00:00,11,390,979570.2,11.82,21305.0
84,899,Vikas P.,vikas91@gmail.com,2024-01-16 00:00:00,2024-01-26 00:00:00,42,D,10123.0,10,1912.0,1345.0,5243.962500000001,104879.25,2023-03-29 00:00:00,9,39,1258101.6,16.56,18999.0
85,267,Priya S.,priya52@gmail.com,2024-01-11 00:00:00,2024-01-18 00:00:00,2,N,6035.0,7,1432.0,0.0,2217.8625,44357.25,2024-05-26 00:00:00,17,560,2560051.2,18.88,45008.0
86,267,Priya S.,priya52@gmail.com,2024-05-20 00:00:00,2024-06-16 00:00:00,32,D,8970.0,27,2772.0,1565.0,12632.8125,252656.25,2023-10-15 00:00:00,17,560,2560051.2,18.88,45008.0
87,899,Vikas P.,vikas91@gmail.com,2024-05-05 00:00:00,2024-05-13 00:00:00,3,N,10409.0,8,566.0,1750.0,4279.905000000001,85598.1,2024-03-20 00:00:00,9,39,1258101.6,16.56,18999.0
88,363,Amit K.,amit43@gmail.com,2024-09-12 00:00:00,2024-09-28 00:00:00,20,N,8278.0,16,2378.0,594.0,6922.335000000001,138446.7,2024-04-18 00:00:00,7,52,1226078.7,19.14,16741.0
89,265,Sunita R.,sunita32@gmail.com,2024-04-04 00:00:00,2024-04-19 00:00:00,10,N,8850.0,15,1410.0,1751.0,6877.447500000001,137548.95,2024-02-16 00:00:00,13,39,1623914.25,15.69,26657.0
90,914,Emily B.,emily30@gmail.com,2024-06-20 00:00:00,2024-06-26 00:00:00,48,D,8901.0,6,919.0,0.0,2803.8150000000005,56076.3,2023-03-17 00:00:00,16,3,1743385.1,13.5,33403.0
91,119,Rahul D.,rahul51@gmail.com,2023-08-27 00:00:00,2023-09-18 00:00:00,28,N,6696.0,22,1563.0,1168.0,7672.560000000001,153451.2,2023-01-31 00:00:00,12,119,1265995.5,14.0,23224.0
92,267,Priya S.,priya52@gmail.com,2023-02-16 00:00:00,2023-03-17 00:00:00,16,N,8452.0,29,4422.0,1655.0,12781.2825,255625.65,2023-03-21 00:00:00,17,560,2560051.2,18.88,45008.0
93,106,Sophia L.,sophia94@gmail.com,2024-05-13 00:00:00,2024-06-04 00:00:00,39,D,9787.0,22,1884.0,646.0,11270.07,225401.4,2024-09-21 00:00:00,4,95,697507.65,21.5,8435.0
94,941,David M.,david79@gmail.com,2023-11-19 00:00:00,2023-11-26 00:00:00,11,N,7640.0,7,1039.0,0.0,2807.7000000000003,56154.0,2023-04-03 00:00:00,7,219,817388.25,12.57,13660.0
95,914,Emily B.,emily30@gmail.com,2023-05-15 00:00:00,2023-06-14 00:00:00,35,D,5696.0,30,2036.0,1445.0,8895.3375,177906.75,2024-06-13 00:00:00,16,3,1743385.1,13.5,33403.0
96,363,Amit K.,amit43@gmail.com,2024-07-06 00:00:00,2024-07-17 00:00:00,1,N,9560.0,11,2218.0,659.0,5486.302500000001,109726.05,2024-05-20 00:00:00,7,52,1226078.7,19.14,16741.0
97,914,Emily B.,emily30@gmail.com,2024-02-20 00:00:00,2024-02-27 00:00:00,43,D,5665.0,7,1465.0,0.0,2081.8875000000003,41637.75,2023-11-19 00:00:00,16,3,1743385.1,13.5,33403.0
98,267,Priya S.,priya52@gmail.com,2024-08-28 00:00:00,2024-09-12 00:00:00,12,N,6544.0,15,1276.0,1880.0,5054.700000000001,101094.0,2023-10-04 00:00:00,17,560,2560051.2,18.88,45008.0
99,183,Michael K.,michael94@gmail.com,2023-10-02 00:00:00,2023-10-26 00:00:00,4,N,8263.0,24,3822.0,1998.0,10306.485,206129.7,2023-05-03 00:00:00,11,390,979570.2,11.82,21305.0
100,183,Michael K.,michael94@gmail.com,2023-08-02 00:00:00,2023-08-14 00:00:00,38,D,9007.0,12,2912.0,1832.0,5578.2300000000005,111564.6,2023-07-19 00:00:00,11,390,979570.2,11.82,21305.0
101,267,Priya S.,priya52@gmail.com,2024-09-08 00:00:00,2024-09-16 00:00:00,22,N,7950.0,8,1321.0,1239.0,3273.9525000000003,65479.05,2023-03-10 00:00:00,17,560,2560051.2,18.88,45008.0
102,265,Sunita R.,sunita32@gmail.com,2024-07-12 00:00:00,2024-07-30 00:00:00,39,D,7883.0,18,2748.0,1111.0,7391.1075,147822.15,2023-03-03 00:00:00,13,39,1623914.25,15.69,26657.0
103,119,Rahul D.,rahul51@gmail.com,2024-04-29 00:00:00,2024-05-11 00:00:00,11,N,9228.0,12,2680.0,1791.0,5719.6125,114392.25,2024-01-29 00:00:00,12,119,1265995.5,14.0,23224.0
104,914,Emily B.,emily30@gmail.com,2024-08-31 00:00:00,2024-09-04 00:00:00,21,N,8606.0,4,3297.0,0.0,9912.315,47633.0,2023-04-04 00:00:00,16,3,1743385.1,13.5,33403.0
105,267,Priya S.,priya52@gmail.com,2023-12-08 00:00:00,2023-12-25 00:00:00,6,N,5310.0,17,2458.0,1882.0,4640.37,92807.4,2023-02-27 00:00:00,17,560,2560051.2,18.88,45008.0
106,899,Vikas P.,vikas91@gmail.com,2024-07-20 00:00:00,2024-07-30 00:00:00,35,D,9529.0,10,1000.0,1170.0,4941.3,98826.0,2023-03-16 00:00:00,9,39,1258101.6,16.56,18999.0
107,267,Priya S.,priya52@gmail.com,2023-02-23 00:00:00,2023-02-25 00:00:00,30,N,6902.0,2,1057.0,0.0,724.71,14494.2,2023-01-11 00:00:00,17,560,2560051.2,18.88,45008.0
108,941,David M.,david79@gmail.com,2024-01-08 00:00:00,2024-02-01 00:00:00,15,N,9298.0,24,3534.0,1228.0,11651.010000000002,233020.2,2024-04-22 00:00:00,7,219,817388.25,12.57,13660.0
109,14,Isha Nair,isha.nair@gmail.com,2024-01-09 05:00:00,2024-01-15 12:25:56,15,N,5900.0,6,0.0,0.0,1770.0,37170.0,2024-09-07 12:22:47,1,236,37170.0,6.0,0.0
